airline_name,flight_iata,departure_scheduled,departure_airport,arrival_airport
KLM,KL4774,2025-08-27T07:00:00+00:00,Indira Gandhi International,Bangalore International Airport
Qantas,QF5038,2025-08-27T07:00:00+00:00,Indira Gandhi International,Bangalore International Airport
Turkish Airlines,TK4718,2025-08-27T07:00:00+00:00,Indira Gandhi International,Bangalore International Airport
Virgin Atlantic,VS8707,2025-08-27T07:00:00+00:00,Indira Gandhi International,Bangalore International Airport
IndiGo,6E2103,2025-08-27T07:00:00+00:00,Indira Gandhi International,Bangalore International Airport
Singapore Airlines,SQ4835,2025-08-27T07:30:00+00:00,Indira Gandhi International,Bangalore International Airport
Air India,AI2651,2025-08-27T07:30:00+00:00,Indira Gandhi International,Bangalore International Airport
Singapore Airlines,SQ4833,2025-08-27T07:45:00+00:00,Indira Gandhi International,Cochin International
Air India,AI9517,2025-08-27T09:10:00+00:00,Indira Gandhi International,Borjhar
Air India Express,IX1186,2025-08-27T09:10:00+00:00,Indira Gandhi International,Borjhar
Air India,AI2571,2025-08-27T09:30:00+00:00,Indira Gandhi International,Vijayawada
Japan Airlines,JL9054,2025-08-27T08:00:00+00:00,Indira Gandhi International,Bangalore International Airport
Qantas,QF4205,2025-08-27T08:00:00+00:00,Indira Gandhi International,Bangalore International Airport
Turkish Airlines,TK4716,2025-08-27T08:00:00+00:00,Indira Gandhi International,Bangalore International Airport
Virgin Atlantic,VS8698,2025-08-27T08:00:00+00:00,Indira Gandhi International,Bangalore International Airport
IndiGo,6E2109,2025-08-27T08:00:00+00:00,Indira Gandhi International,Bangalore International Airport
